component,m,sigma,epsilon,netac,Tc,Pc,Zc,c1,c2,Reference
4-Methyl-trans-2-pentene,2.942,3.929,232.262,0.126,496.600,3.380,0.288,0.091754,0.831166,(Shi, 2024)
5-Methyl-1-hexene,3.372,3.954,231.020,0.123,528.700,2.860,0.267,0.061957,0.547527,(Shi, 2024)
6-Methyl-1-heptene,3.727,4.011,234.531,0.121,556.500,2.580,0.260,0.153104,1.354052,(Shi, 2024)
3-Methyl-trans-2-pentene,2.999,3.955,237.668,0.127,507.000,3.520,0.289,0.100845,0.776010,(Shi, 2024)
3-Methyl-cis-2-pentene,2.967,3.925,237.872,0.127,516.000,3.620,0.291,0.063617,0.479925,(Shi, 2024)
3-Methyl-1-pentene,3.010,3.853,227.207,0.123,490.000,3.360,0.296,0.088909,0.926989,(Shi, 2024)
3-Methyl-1-hexene,3.335,3.934,232.071,0.121,523.900,2.820,0.269,0.077669,0.727073,(Shi, 2024)
3-Methyl-1-butene,2.590,3.853,222.152,0.130,452.690,3.510,0.284,-0.032588,0.053410,(Shi, 2024)
3-Methyl-1,4-pentadiene,2.877,3.845,232.676,0.117,487.300,3.200,0.281,0.104484,1.417380,(Shi, 2024)
3-Ethyl-1-pentene,3.305,3.917,233.833,0.123,524.100,2.820,0.265,0.081847,0.786683,(Shi, 2024)
3-Ethyl-1-hexene,3.763,3.985,231.947,0.121,552.600,2.540,0.258,0.066785,0.568701,(Shi, 2024)
3,3-Dimethyl-1-butene,2.734,3.946,229.837,0.125,477.400,2.920,0.254,0.085551,1.567290,(Shi, 2024)
1-Propyne,2.604,3.165,196.989,0.132,402.700,5.658,0.272,0.076750,0.398540,(Shi, 2024)
1-Butyne,2.878,3.367,205.959,0.129,460.200,6.560,0.354,0.020090,0.447620,(Shi, 2024)
2-Butyne,2.812,3.412,223.756,0.134,489.100,5.000,0.260,-0.032000,0.048350,(Shi, 2024)
1-Pentyne,3.212,3.445,214.855,0.126,498.400,4.240,0.284,-0.067243,0.000035,(Shi, 2024)
2-Pentyne,2.325,4.006,267.832,0.133,545.000,4.350,0.259,0.012956,0.188023,(Shi, 2024)
1-Hexyne,3.547,3.565,221.268,0.120,533.500,4.340,0.327,0.041010,0.263542,(Shi, 2024)
1-Heptyne,3.903,3.650,225.821,0.122,564.000,3.900,0.325,-0.015070,0.149234,(Shi, 2024)
1-Octyne,4.266,3.717,229.202,0.121,590.700,3.360,0.303,-0.001945,0.193846,(Shi, 2024)
1-Nonyne,4.648,3.766,231.542,0.118,614.300,3.032,0.299,0.011863,0.261044,(Shi, 2024)
1-Decyne,5.028,3.815,233.588,0.116,630.700,2.430,0.261,0.038224,0.365971,(Shi, 2024)
Vinyl,acetylene,1.805,3.925,265.221,0.119,448.000,5.000,0.306,0.095839,0.926383,(Shi, 2024)
2-Methyl-1-butene-3-yne,2.034,4.007,270.835,0.129,477.000,4.200,0.270,0.125964,2.076773,(Shi, 2024)
3-Methyl-1-butyne,3.354,3.341,203.127,0.125,488.000,4.100,0.278,-0.097621,0.000045,(Shi, 2024)
2-Ethylnaphthalene,4.250,3.978,308.287,0.122,766.00,2.800,0.229,0.049386,0.328392,(Shi, 2024)
Benzene,2.636,3.688,273.586,0.130,562.020,4.907,0.269,0.070020,0.534430,(Shi and Li, 2023)
