component,m,sigma,epsilon,netac,Tc,Pc,Zc,c1,c2,Reference
R124,3.243,3.370,175.847,0.127,395.425,3.624,0.269,0.036700,0.397200,(Shi and Li, 2023)
R123,3.199,3.541,204.313,0.127,456.831,3.662,0.268,0.037700,0.372200,(Shi and Li, 2023)
R12,2.347,3.584,197.861,0.131,385.120,4.136,0.276,0.046950,0.633530,(Shi and Li, 2023)
R11,2.430,3.707,238.091,0.131,471.110,4.408,0.279,0.090265,0.634548,(Shi and Li, 2023)
R13,2.308,3.396,156.394,0.131,302.000,3.879,0.277,-0.026840,0.549830,(Shi, 2024)
R115,2.904,3.546,164.619,0.128,353.100,3.129,0.268,0.030000,0.657700,(Shi and Li, 2023)
R114,2.930,3.692,194.505,0.128,418.830,3.257,0.276,-0.088300,0.195200,(Shi and Li, 2023)
R113,2.958,3.818,225.325,0.128,487.210,3.392,0.280,-0.142530,0.000010,(Shi, 2024)
R14,2.341,3.109,117.008,0.131,227.510,3.750,0.279,-0.219950,0.392540,(Shi, 2024)
R116,2.969,3.335,135.308,0.128,293.030,3.048,0.282,-0.208000,-0.000030,(Shi, 2024)
R218,3.470,3.491,149.203,0.126,345.020,2.640,0.276,-0.261190,0.000020,(Shi, 2024)
RC318,3.773,3.461,162.457,0.124,388.380,2.778,0.278,-0.166360,0.000040,(Shi, 2024)
Acetic anhydride,4.522,3.316,236.913,0.125,606.000,4.020,0.235,0.035127,0.230275,(Shi, 2024)
Others
Ethylene oxide,2.495,3.116,234.201,0.133,469.000,7.220,0.255,0.067547,0.392476,(Shi, 2024)
Dimethyl sulfoxide,3.139,3.606,328.677,0.124,706.900,5.847,0.232,0.087899,0.639375,(Shi, 2024)
