Clapeyron Database File
SAFTVRMieKiselev Like Parameters
species,DIPPR Number,Mw,Tc,Vc,d1,v1,v2,Gi,m0,a20,a21,ac,bc,cc,segment,sigma,epsilon,lambda_r,lambda_a,n_H,n_e,source
carbon dioxiden,,44.01,304.1282, 9.4118e-5, 0.9659028787114236, 0.0031120954263837764, 9.069579560001685, 0.0064593526165926595, 1.8738647875586778, 6.951048, -2.289222, 0.0,0.0,0.0, 1.3377771325298364, 3.364713906233394, 217.21330248236745, 33.06419328919456, 4.74413555675961,1.0,0.0,10.1016/j.fluid.2015.12.044
carbon dioxide,,44.01,304.1282, 9.4118e-5, 0.9357659, 0.00331977, 8.5, 0.00593281, 1.717345, 6.951048, -2.289222, 0.0,0.0,0.0, 1.4798587776019445, 3.2228401202242543, 224.88564853417145, 36.478794541287094, 4.852986789958997,1.0,0.0,10.1016/j.fluid.2015.12.044
