Clapeyron Database File,,,,,,,,,,
SAFTVRMie Like Parameters,,,,,,,,,,
species,DIPPR Number,Mw,Vt,segment,sigma,epsilon,lambda_r,lambda_a,n_H,n_e,source
carbon dioxide,,44.01,-0.16117145788127402,1.4252679337210516,3.22507473140843,328.0261137798244,13.911982073090966,8.039427902505318,1.0,0.0,10.1016/j.fluid.2015.12.044
nitrogen,,28.01,-1.0566022880475023,1.1839031712373538,3.3874858344843504,100.3058277709549,9.022799607850791,7.380416354257889,0,0,10.1016/j.fluid.2015.12.044
oxygen,,32.0,0.0,1.4595,2.9427,80.36,8.0813,6.4062,0,0,10.1016/j.fluid.2015.12.044
argon,,39.95,0.0,1.0,3.4273,93.381,17.713,4.6312,0,0,10.1016/j.fluid.2015.12.044
