A,B
92.748154488,452761.49982148735
93.06360294,464369.9587870654
93.379051392,476193.61311052035
93.69449984399999,488234.7895822863
94.009948296,500495.82014895405
94.325396748,512979.04196337075
94.6408452,525686.7974435831
94.956293652,538621.4343407582
95.271742104,551785.3058163424
95.587190556,565180.7705286278
95.902639008,578810.1927289891
96.21808745999999,592675.9423680096
96.53353591199999,606780.395211765
96.84898436399999,621125.9329685491
97.164432816,635714.943426294
97.479881268,650549.820601051
97.79532972,665632.9648968019
98.11077817200001,680966.7832769944
98.42622662400001,696553.6894481406
98.74167507599999,712396.1040559005
99.05712352799999,728496.4548940304
99.37257198,744857.1771267062
99.688020432,761480.7135246107
100.003468884,778369.5147153762
100.318917336,795526.0394488596
100.634365788,812952.7548778545
100.94981424,830652.1368548401
101.265262692,848626.6702454158
101.58071114399999,866878.8492591472
101.89615959599999,885411.1777985103
102.21160804799999,904226.1698267796
102.5270565,923326.3497556894
102.842504952,942714.2528537563
103.157953404,962392.4256762674
103.473401856,982363.4265179355
103.78885030800001,1.0026298258893563e6
104.10429876,1.0231942070184633e6
104.419747212,1.0440591663782225e6
104.735195664,1.0652273142419853e6
105.050644116,1.0867012752679286e6
105.366092568,1.1084836891142228e6
105.68154102,1.130577211086551e6
105.996989472,1.1529845128199006e6
106.312437924,1.175708282996555e6
106.62788637599999,1.1987512281024363e6
106.94333482799999,1.222116073224114e6
107.25878327999999,1.24580556288897e6
107.57423173199999,1.2698224619512362e6
107.88968018399999,1.2941695565268071e6
108.205128636,1.318849654980075e6
108.520577088,1.343865588966153e6
108.83602554,1.369220214532351e6
109.151473992,1.3949164132829718e6
109.466922444,1.420957093611873e6
109.782370896,1.4473451920077768e6
110.097819348,1.4740836744376614e6
110.4132678,1.5011755378140993e6
110.728716252,1.5286238115531194e6
111.044164704,1.556431559229628e6
111.359613156,1.5846018803383934e6
111.675061608,1.613137912169208e6
111.99051005999999,1.6420428318059829e6
112.30595851199999,1.6713198582605624e6
112.621406964,1.7009722547531547e6
112.936855416,1.731003331152872e6
113.252303868,1.761416446593455e6
113.56775232000001,1.7922150122809396e6
113.88320077200001,1.8234024945125417e6
114.19864922400001,1.854982417928201e6
114.51409767599999,1.8869583690194304e6
114.829546128,1.9193339999235475e6
115.14499458,1.9521130325352282e6
115.460443032,1.9852992629726303e6
115.775891484,2.0188965664406894e6
116.091339936,2.0529089025415136e6
116.406788388,2.0873403210901436e6
116.72223684,2.1221949685042542e6
117.03768529199999,2.1574770948492545e6
117.35313374399999,2.1931910616357494e6
117.66858219599999,2.2293413504863544e6
117.984030648,2.2659325728134676e6
118.2994791,2.302969480681596e6
118.614927552,2.340456979068652e6
118.930376004,2.3784001397939236e6
119.24582445600001,2.4168042174508e6
119.561272908,2.4556746677755616e6
119.87672136,2.4950171690093675e6
120.192169812,2.5348376469808617e6
120.507618264,2.575142304869754e6
120.823066716,2.6159376589309634e6
121.138515168,2.657230581897496e6
121.45396362,2.699028356379683e6
121.769412072,2.7413387413912383e6
122.08486052399999,2.784170056217678e6
122.40030897599999,2.8275312872648425e6
122.71575742799999,2.871432225349837e6
123.03120587999999,2.9158836432158877e6
123.34665433199999,2.9608975260747783e6
123.662102784,3.006487372343107e6
123.977551236,3.0526685893414086e6
124.292999688,3.0994590249219104e6
124.60844814000001,3.1468797155009815e6
124.923896592,3.1949560516452505e6
125.239345044,3.243719809020002e6
125.554793496,3.2932137564048027e6
125.870241948,3.3435053461914193e6
126.1856904,3.394761962950793e6
