A,B
[method = saturation_p],
T,out_pre
63.096,12396.885671810527
63.411448451999995,13134.825149202085
63.72689690399999,13907.85557454461
64.042345356,14717.182844955432
64.357793808,15564.035290191947
64.67324226,16449.66353163394
64.988690712,17375.340330611805
65.30413916399999,18342.360426485506
65.61958761599999,19352.040364887845
65.935036068,20405.718316546696
66.25048452,21504.753887107636
66.565932972,22650.52791837622
66.881381424,23844.442281405245
67.196829876,25087.91966184896
67.512278328,26382.403338007498
67.82772677999999,27729.356951982158
68.14317523199999,29130.264274361165
68.458623684,30586.628962853054
68.774072136,32099.974315277464
69.089520588,33671.84301732404
69.40496904,35303.79688548284
69.720417492,36997.41660554085
70.035865944,38754.301467041754
70.35131439599999,40576.069094089726
70.66676284799999,42464.35517287866
70.9822113,44420.81317631721
71.297659752,46447.11408611493
71.613108204,48544.946112683996
71.928556656,50716.01441320442
72.244005108,52962.04080819589
72.55945356,55284.76349692119
72.87490201199999,57685.93677195018
73.19035046399999,60167.33073319543
73.505798916,62730.731001720334
73.821247368,65377.93843362563
74.13669582,68110.76883429008
74.452144272,70931.05267325032
74.767592724,73840.63479998785
75.083041176,76841.37416088066
75.398489628,79935.1435175745
75.71393807999999,83123.82916701376
76.02938653199999,86409.33066336547
76.344834984,89793.5605420637
76.660283436,93278.44404618985
76.975731888,96865.91885539753
77.29118034,100557.93481758537
77.606628792,104356.45368350216
77.922077244,108263.44884448132
78.23752569599999,112280.90507347029
78.552974148,116410.81826953474
78.8684226,120655.1952059916
79.183871052,125016.05328233365
79.499319504,129495.42028009362
79.814767956,134095.33412278825
80.130216408,138817.84264008034
80.44566486,143665.0033362928
80.76111331199999,148638.88316339607
81.07656176399999,153741.55829859053
81.39201021599999,158975.1139266005
81.707458668,164341.64402678554
82.02290712,169843.2511651778
82.338355572,175482.04629154928
82.653804024,181260.14854159704
82.969252476,187179.68504435325
83.28470092799999,193242.79073489405
83.60014938,199451.6081724495
83.915597832,205808.28736398643
84.231046284,212314.98559335584
84.546494736,218973.86725607197
84.861943188,225787.1036998106
85.17739164,232756.8730707008
85.492840092,239885.3601654703
85.80828854399999,247174.7562895371
86.12373699599999,254627.25912110604
86.43918544799999,262245.0725813422
86.7546339,270030.40671069437
87.070082352,277985.47755144176
87.385530804,286112.50703653274
87.700979256,294413.7228847795
88.016427708,302891.3585024971
88.33187616000001,311547.6528916461
88.647324612,320384.8505645644
88.962773064,329405.20146535686
89.278221516,338610.9608980319
89.593669968,348004.3894614552
89.90911842,357587.7529912233
90.224566872,367363.32250851736
90.540015324,377333.37417606945
90.855463776,387500.189261287
91.17091222799999,397866.05410669197
91.48636067999999,408433.2601077239
91.801809132,419204.1036980721
92.117257584,430180.88634259964
92.432706036,441365.9145380286
