Clapeyron Database File
PatelTejaCrossover Like Parameters
species,DIPPR Number,Mw,Tc,Pc,Vc,acentricfactor,Zc0,L,M,N,d1,v1,v2,Gi,m0,a20,a21,source
carbon dioxide,,44.01, 304.1282, 7.3773e6, 9.4118e-5,0.224,0.297, 0.6882325806787728, 1.1329743732476725, 1.1003106145743475, 1.3475027980038607, 0.004780346585810464, 8.120185164733433, 0.027449550025870417, 1.4997172699383323, 6.951048, -2.289222,10.1016/j.fluid.2015.12.044
carbon dioxide_start,,44.01, 304.1282, 7.3773e6, 9.4118e-5,0.224,0.2963823409402489, 0.6847967684630859, 1.1329312841934935, 1.100006680118252, 1.3378433726266146, 0.004528233797955062, 5.890278320574042, 0.027451091480197174, 1.4954863855554485, 6.951048, -2.289222,10.1016/j.fluid.2015.12.044
