Clapeyron Database File,,,,,,,,,,
SAFTVRMie Like Parameters,,,,,,,,,,
species,DIPPR Number,Mw,ρc,ac,bc,cc,Vt,segment,sigma,epsilon,lambda_r,lambda_a,n_H,n_e,source
carbon dioxide,,44.01,10.624978698,-0.001374011392943282,1.4384989881355021,-5.1080550775806675,0.9054662014067434,1.4319726129854506,3.210549200701595,324.837770431519,10.832119686214046,9.541840731089545,1.0,0.0,10.1016/j.fluid.2015.12.044
nitrogen,,28.01,11.1839,0.19089341627137196,-3.334821231727166,66.91456241064482,0.24649083482539025,1.5403372935912378,3.029733705760889,88.80747797120472,6.447640044414523,6.002775840884346,0,0,10.1016/j.fluid.2015.12.044
oxygen,,32.0,0.0,0.0,0.0,0.0,0.0,1.4595,2.9427,80.36,8.0813,6.4062,0,0,10.1016/j.fluid.2015.12.044
argon,,39.95,0.0,0.0,0.0,0.0,0.0,1.0,3.4273,93.381,17.713,4.6312,0,0,10.1016/j.fluid.2015.12.044
