Clapeyron Database File,,,,,,,,,,
SAFTVRMieCP Like Parameters,,,,,,,,,,
species,DIPPR Number,Mw,Tc,Pc,Vc,ac,bc,cc,dc,ec,fc,segment,sigma,epsilon,lambda_r,lambda_a,n_H,n_e,source
nitrogen,,28.01,126.192,3.3958e6,8.94142e-5,0.0,0.0,0.0,0.5,500.0,1000.0,1.5461614648849995, 3.0491643271702293, 85.36164814660276, 6.386943372742874, 5.885515423346442,0,0,10.1016/j.fluid.2015.12.044
oxygen,,32.0,154.595, 5.043e6, 7.3368e-5,0.0,0.0,0.0,0.5,500.0,1000.0,1.4595,2.9427,80.36,8.0813,6.4062,0,0,10.1016/j.fluid.2015.12.044
argon,,39.95,150.687,4.863e6,7.45855e-5,0.0,0.0,0.0,0.5,500.0,1000.0,1.0,3.4273,93.381,17.713,4.6312,0,0,10.1016/j.fluid.2015.12.044
carbon dioxide,,44.01,304.1282,7.3773e6,9.4118e-5,0.0,0.0,0.0,0.5,500.0,1000.0,1.4457055822442366, 3.1876527707724542, 329.5048897238769, 12.6826436162157, 8.331788695887868,1.0,0.0,10.1016/j.fluid.2015.12.044
