Clapeyron Database File,,,,,
Critical Single Parameters,,,,,
species,CAS,Tc,Pc,Vc,acentricfactor,Zc0
carbon dioxide,124-38-9,304.1282,7.3773e6,9.4118e-5,0.224,0.3137072
